Day,Johannesburg,Ekurhuleni,Tshwane,Sedibeng,West Rand
"Apr 8, 2020",0,0,0,0,0
"Apr 9, 2020",0,0,0,0,0
"Apr 10, 2020",6,9,0,0,0
"Apr 11, 2020",0,0,0,0,0
"Apr 12, 2020",21,21,2,0,18
"Apr 13, 2020",41,0,9,2,0
"Apr 14, 2020",43,7,-1,1,5
"Apr 15, 2020",7,13,4,-1,0
"Apr 16, 2020",17,19,5,0,0
"Apr 17, 2020",24,16,1,2,0
"Apr 18, 2020",61,27,7,0,3
"Apr 19, 2020",30,10,5,1,1
"Apr 20, 2020",8,13,0,0,0
"Apr 21, 2020",14,11,3,0,1
"Apr 22, 2020",14,8,2,0,1
"Apr 23, 2020",22,3,0,2,1
"Apr 24, 2020",16,8,2,2,0
"Apr 25, 2020",8,11,3,0,0
"Apr 26, 2020",16,10,1,0,1
"Apr 27, 2020",16,3,3,0,0
"Apr 28, 2020",7,10,8,0,0
"Apr 29, 2020",17,8,5,1,0
"Apr 30, 2020",12,1,23,0,1
"May 1, 2020",25,9,15,2,1
"May 2, 2020",55,21,14,1,0
"May 3, 2020",15,9,0,2,0
"May 4, 2020",19,2,10,0,6
"May 5, 2020",17,6,13,0,0
"May 6, 2020",8,4,11,0,0
"May 7, 2020",30,28,23,0,3
"May 8, 2020",20,4,20,1,1
"May 9, 2020",28,24,5,0,1
"May 10, 2020",22,9,2,4,5
"May 11, 2020",6,3,8,0,0
"May 12, 2020",21,10,6,0,3
"May 13, 2020",18,8,5,2,0
"May 14, 2020",29,4,6,3,3
"May 15, 2020",26,17,12,7,1
"May 16, 2020",16,11,2,1,3
"May 17, 2020",1,33,15,0,0
"May 18, 2020",8,6,2,0,0
"May 19, 2020",10,11,-5,1,0
"May 20, 2020",24,11,8,3,1
"May 21, 2020",35,2,8,0,5
"May 22, 2020",40,14,9,0,2
"May 23, 2020",29,14,5,2,7
"May 24, 2020",43,27,18,4,25
"May 25, 2020",68,33,15,3,171
"May 26, 2020",14,3,13,12,4
"May 27, 2020",29,25,8,4,4
"May 28, 2020",60,26,16,7,16
"May 29, 2020",111,39,21,17,6
"May 30, 2020",95,38,17,1,11
"May 31, 2020",94,55,17,4,23
"Jun 1, 2020",100,43,21,1,27
"Jun 2, 2020",60,19,24,3,14
"Jun 3, 2020",159,50,34,7,24
"Jun 4, 2020",144,52,44,4,25
"Jun 5, 2020",198,78,46,8,22
"Jun 6, 2020",215,73,49,7,52
"Jun 7, 2020",157,66,53,8,29
"Jun 8, 2020",136,37,49,2,31
"Jun 9, 2020",141,45,54,2,14
"Jun 10, 2020",380,96,95,23,43
"Jun 11, 2020",360,141,111,21,54
"Jun 12, 2020",397,185,148,25,54
"Jun 13, 2020",582,251,166,27,62
"Jun 14, 2020",660,273,158,55,55
"Jun 15, 2020",526,209,167,49,60
"Jun 16, 2020",443,149,143,30,43
"Jun 17, 2020",715,378,263,65,106
"Jun 18, 2020",670,222,241,63,69
"Jun 19, 2020",676,300,215,58,95
"Jun 20, 2020",747,338,319,51,105
"Jun 21, 2020",998,338,275,69,109
"Jun 22, 2020",759,331,233,61,110
"Jun 23, 2020",883,358,261,68,92
"Jun 24, 2020",930,520,399,57,117
"Jun 25, 2020",1290,561,380,116,139
"Jun 26, 2020",1181,625,377,131,183
"Jun 27, 2020",1349,633,565,99,167
"Jun 28, 2020",1294,614,388,126,128
"Jun 29, 2020",1523,619,415,167,161
"Jun 30, 2020",1389,763,475,149,208
"Jul 1, 2020",1470,653,576,120,158
"Jul 2, 2020",1856,952,660,150,258
"Jul 3, 2020",2049,1030,767,235,219
"Jul 4, 2020",2307,1248,732,216,327
"Jul 5, 2020",1804,1005,680,158,242
"Jul 6, 2020",1575,768,464,220,338
"Jul 7, 2020",1771,959,943,372,339
"Jul 8, 2020",1290,819,735,280,202
"Jul 9, 2020",3005,1474,1030,488,439
"Jul 10, 2020",2188,1115,1229,397,374
"Jul 11, 2020",2482,1402,1159,355,438
"Jul 12, 2020",2230,1193,1067,383,405
"Jul 13, 2020",1937,1408,994,402,420
"Jul 14, 2020",1432,549,574,414,218
"Jul 15, 2020",2050,1181,1395,430,411
"Jul 16, 2020",1925,1310,1135,360,339
"Jul 17, 2020",2139,1276,1130,464,361
"Jul 18, 2020",2014,1152,1084,347,299
"Jul 19, 2020",1859,1201,1023,466,304
"Jul 20, 2020",1073,719,985,225,169
"Jul 21, 2020",1050,461,621,208,144
"Jul 22, 2020",1896,1204,1224,405,338
"Jul 23, 2020",1440,972,1039,336,334
"Jul 24, 2020",1344,952,1075,448,244
"Jul 25, 2020",1318,937,828,313,292
"Jul 26, 2020",1125,766,837,299,233
"Jul 27, 2020",673,399,749,167,139
"Jul 28, 2020",835,458,642,159,113
"Jul 29, 2020",1275,923,981,256,218
"Jul 30, 2020",992,595,1033,301,215
"Jul 31, 2020",1145,908,1048,317,204
"Aug 1, 2020",0,0,0,0,0
"Aug 2, 2020",0,0,0,0,0
"Aug 3, 2020",0,0,0,0,0
"Aug 4, 2020",0,0,0,0,0
"Aug 5, 2020",3187,2212,2925,870,550
"Aug 6, 2020",0,0,0,0,0
"Aug 7, 2020",1109,911,1263,331,189
"Aug 8, 2020",657,414,527,147,92
"Aug 9, 2020",703,301,445,123,127
"Aug 10, 2020",289,169,217,80,41
"Aug 11, 2020",190,124,118,52,43
"Aug 12, 2020",192,157,162,52,27
"Aug 13, 2020",323,284,368,46,57
"Aug 14, 2020",674,461,507,150,89
"Aug 15, 2020",319,289,369,132,46
"Aug 16, 2020",285,275,274,74,47
"Aug 17, 2020",207,119,197,41,24
"Aug 18, 2020",415,241,246,86,72
"Aug 19, 2020",286,240,343,77,70
"Aug 20, 2020",287,200,309,85,49
"Aug 21, 2020",293,205,241,63,51
"Aug 22, 2020",597,348,280,94,86
"Aug 23, 2020",300,175,203,39,58
"Aug 24, 2020",189,146,98,32,33
"Aug 25, 2020",106,58,148,32,20
"Aug 26, 2020",364,172,246,70,56